Test Set,Actual Solution,QP Gurobi_run_1,QP Gurobi Multithread_run_1,Jarry-Bolduc 2020_run_1,Regis KKT_run_1,QCLP Gurobi_run_1,QCLP Gurobi Multithread_run_1,Random Linear Program_run_1,Random Linear Program_run_2,Random Linear Program_run_3,Random Linear Program_run_4,Random Linear Program Multithread_run_1,Random Linear Program Multithread_run_2,Random Linear Program Multithread_run_3,Random Linear Program Multithread_run_4,LRS Vertex Enumeration Rational_run_1
augmented_max_pbasis\n=10\δ_0\test_1/rotation_0,0.316228,0.316228,0.316228,0.459016,0.494490,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.426516
augmented_max_pbasis\n=10\δ_0\test_1/rotation_1,0.316228,0.316228,0.316228,0.483392,0.494490,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.386497
augmented_max_pbasis\n=10\δ_0\test_1/rotation_2,0.316228,0.316228,0.316228,0.491555,0.525199,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.447764
augmented_max_pbasis\n=10\δ_0\test_1/rotation_0,0.316228,0.316228,0.316228,0.459016,0.494490,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.426516
augmented_max_pbasis\n=10\δ_0\test_1/rotation_1,0.316228,0.316228,0.316228,0.483392,0.494490,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.386497
augmented_max_pbasis\n=10\δ_0\test_1/rotation_2,0.316228,0.316228,0.316228,0.491555,0.525199,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.447764
augmented_max_pbasis\n=10\δ_0\test_2/rotation_0,0.316228,0.316228,0.316228,0.474150,0.537801,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.383520
augmented_max_pbasis\n=10\δ_0\test_2/rotation_1,0.316228,0.316228,0.316228,0.483423,0.516296,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.401869
augmented_max_pbasis\n=10\δ_0\test_2/rotation_2,0.316228,0.316228,0.316228,0.531835,0.486501,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.348408
augmented_max_pbasis\n=10\δ_0\test_3/rotation_0,0.316228,0.316228,0.316228,0.535086,0.527059,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.473519
augmented_max_pbasis\n=10\δ_0\test_3/rotation_1,0.316228,0.316228,0.316228,0.456809,0.503056,0.316227,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.423181
augmented_max_pbasis\n=10\δ_0\test_3/rotation_2,0.316228,0.316228,0.316228,0.494290,0.510500,0.316228,0.316227,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.316228,0.432992
